Clapeyron Database File,,,,,
ChapmanEnskogYang2021 Like Parameters,,,,,
species,Mw,epsilon,sigma,source
isobutane~|~2-methylpropane,58.12,418.0,5.0922,10.1007/s10765-022-03096-9
krypton,83.8,178.9,3.65,10.1007/s10765-022-03096-9
md2m~|~decamethyltetrasiloxane,310.68,476.0,8.49,10.1007/s10765-022-03096-9
md3m~|~dodecamethylpentasiloxane,384.84000000000003,499.5,9.11,10.1007/s10765-022-03096-9
md4m~|~tetradecamethylhexasiloxane,458.99,518.7,9.76,10.1007/s10765-022-03096-9
mdm~|~octamethyltrisiloxane,236.53,447.94,7.7,10.1007/s10765-022-03096-9
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,61.0831,533.15,4.61,10.1007/s10765-022-03096-9
methane,16.0428,174.0,3.67,10.1007/s10765-022-03096-9
methanol,32.042,481.8,3.63,10.1007/s10765-022-03096-9
*~|~milprf23699,NaN,738.5055,10.64427,10.1007/s10765-022-03096-9
"methyllinoleate~|~methyl (z,z)-9,12-octadecadienate~|~(z,z)-9,12-octadecadienoic acid methyl ester",294.5,634.5,8.7,10.1007/s10765-022-03096-9
"methyllinolenate~|~methyl (z,z,z)-9,12,15-octadecatrienoate",292.5,613.04,8.55,10.1007/s10765-022-03096-9
mm~|~hexamethyldisiloxane,162.38,357.0,7.19,10.1007/s10765-022-03096-9
methyloleate~|~methyl cis-9-octadecenoate,296.5,621.0,8.7,10.1007/s10765-022-03096-9
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,270.5,599.54,8.39,10.1007/s10765-022-03096-9
methyl stearate~|~methyl octadecanoate~|~octadecanoicacidmethylester,298.5,615.42,8.74,10.1007/s10765-022-03096-9
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",106.16000000000001,489.87,5.8,10.1007/s10765-022-03096-9
nitrous oxide~|~dinitrogen monoxide,44.013,232.4,3.83,10.1007/s10765-022-03096-9
neon,20.18,45.58,2.71,10.1007/s10765-022-03096-9
"neopentane~|~2,2-dimethylpropane",72.15,255.65,6.46,10.1007/s10765-022-03096-9
nitrogen trifluoride,71.019,175.0,4.15,10.1007/s10765-022-03096-9
nitrogen,28.014,100.017,3.65,10.1007/s10765-022-03096-9
nonane~|~n-nonane,128.25,472.127,6.64,10.1007/s10765-022-03096-9
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",316.0444,350.8,6.51,10.1007/s10765-022-03096-9
octane~|~n-octane,114.23,452.09,6.36,10.1007/s10765-022-03096-9
orthohydrogen~|~ortho-hydrogen,2.01594,0.0,0.0,10.1007/s10765-022-03096-9
oxygen,31.999,116.2,3.43,10.1007/s10765-022-03096-9
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",106.16000000000001,500.48,5.82,10.1007/s10765-022-03096-9
parahydrogen~|~para-hydrogen,2.0158799999999997,59.7,2.83,10.1007/s10765-022-03096-9
pentane~|~n-pentane,72.15,349.44,5.79,10.1007/s10765-022-03096-9
*~|~poe5,NaN,706.7418,9.838,10.1007/s10765-022-03096-9
*~|~poe7,NaN,746.4464,10.87188,10.1007/s10765-022-03096-9
*~|~poe9,NaN,770.2692,11.87703,10.1007/s10765-022-03096-9
"propadiene~|~1,2-propadiene",40.06386,316.0,4.48,10.1007/s10765-022-03096-9
propane~|~n-propane,44.1,263.88,4.97,10.1007/s10765-022-03096-9
propene~|~propylene,42.08,298.9,4.68,10.1007/s10765-022-03096-9
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",58.07914,387.6,4.68,10.1007/s10765-022-03096-9
propyne~|~1-propyne~|~methylacetylene,40.059999999999995,251.8,4.76,10.1007/s10765-022-03096-9
"pxylene~|~p-xylene~|~1,4-dimethylbenzene",106.16000000000001,489.3,5.81,10.1007/s10765-022-03096-9
r11~|~cfcl3~|~trichlorofluoromethane,137.36,363.609,5.45,10.1007/s10765-022-03096-9
r1123~|~trifluoroethene~|~trifluoroethylene,82.02455,263.4,4.45,10.1007/s10765-022-03096-9
"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",187.37,376.035,6.02,10.1007/s10765-022-03096-9
"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",170.92,174.0,6.48,10.1007/s10765-022-03096-9
"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",154.45999999999998,201.9,5.88,10.1007/s10765-022-03096-9
r116~|~perfluoroethane~|~hexafluoroethane,138.01,226.16,5.25,10.1007/s10765-022-03096-9
r12~|~dichlorodifluoromethane,120.91,297.24,5.19,10.1007/s10765-022-03096-9
r1216~|~perfluoropropene~|~hexafluoropropene~|~perfluoropropylene~|~hexafluoropropylene,150.02252,285.0,5.14,10.1007/s10765-022-03096-9
"cis-1-chloro-2,3,3,3-tetrafluoropropene~|~r1224yd(z)~|~r1224ydz",148.4867,340.42,5.3,10.1007/s10765-022-03096-9
"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",152.93,275.16,5.91,10.1007/s10765-022-03096-9
"r1233zde~|~r1233zd(e)~|~trans-1-chloro-3,3,3-trifluoropropene~|~(e)-1-chloro-3,3,3-trifluoroprop-1-ene~|~trans-1-chloro-3,3,3-trifluoro-1-propene",130.49,349.08,5.24,10.1007/s10765-022-03096-9
"r1234yf~|~2,3,3,3-tetrafluoropropene~|~2,3,3,3-tetrafluoro-1-propene~|~2,3,3,3-tetrafluoroprop-1-ene",114.04,281.14,5.33,10.1007/s10765-022-03096-9
"r1234zee~|~r1234ze(e)~|~trans-1,3,3,3-tetrafluoropropene~|~(e)-1,3,3,3-tetrafluoroprop-1-ene",114.04,303.8,5.0,10.1007/s10765-022-03096-9
"r1234zez~|~r1234ze(z)~|~cis-1,3,3,3-tetrafluoropropene~|~(z)-1,3,3,3-tetrafluoro-1-propene~|~(z)-1,3,3,3-tetrafluoroprop-1-ene",114.0416,336.11,5.1,10.1007/s10765-022-03096-9
"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",136.47,275.8,5.5,10.1007/s10765-022-03096-9
"r1243zf~|~3,3,3-trifluoropropene~|~3,3,3-trifluoro-1-propene~|~1,1,1-trifluoro-2-propene~|~3,3,3-trifluoropropylene (r1243zf)",96.05,299.3,4.97,10.1007/s10765-022-03096-9
r125~|~pentafluoroethane,120.02,237.077,5.23,10.1007/s10765-022-03096-9
r13~|~chlorotrifluoromethane,104.46,204.0,4.97,10.1007/s10765-022-03096-9
