Clapeyron Database File,,,,,,,
RefpropRES2025_viscosity Like Parameters,,,,,,,
species,ξ,n1,n2,n3,n4,source
isohexane~|~2-methylpentane,1.0,0.368669,-0.158143,0.034655,0.0,10.1021/acs.jced.4c00451
"isooctane~|~2,2,4-trimethylpentane",1.0,0.416715,-0.191216,0.043679,0.0,10.1021/acs.jced.4c00451
isopentane~|~methylbutane~|~2-methylbutane,1.0,0.391104,-0.168977,0.038118,0.0,10.1021/acs.jced.4c00451
isobutane~|~2-methylpropane,1.0,0.443856,-0.203979,0.048521,0.0,10.1021/acs.jced.4c00451
krypton,1.0,0.574447,-0.432866,0.18256,0.0,10.1021/acs.jced.4c00451
md2m~|~decamethyltetrasiloxane,1.0013,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
md3m~|~dodecamethylpentasiloxane,1.0947,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
md4m~|~tetradecamethylhexasiloxane,1.1733,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
mdm~|~octamethyltrisiloxane,1.0,0.272782,-0.094278,0.01691,0.0,10.1021/acs.jced.4c00451
mea~|~ethanolamine~|~monoethanolamine~|~2-aminoethan-1-ol,1.0,0.394192,-0.200601,0.048884,0.0,10.1021/acs.jced.4c00451
methane,1.0,0.436026,-0.208491,0.062506,0.0,10.1021/acs.jced.4c00451
methanol,1.0,0.3169,-0.194229,0.056838,0.0,10.1021/acs.jced.4c00451
*~|~milprf23699,1.3482,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
"methyllinoleate~|~methyl (z,z)-9,12-octadecadienate~|~(z,z)-9,12-octadecadienoic acid methyl ester",1.0,0.151958,-0.041349,0.006241,0.0,10.1021/acs.jced.4c00451
"methyllinolenate~|~methyl (z,z,z)-9,12,15-octadecatrienoate",1.0,0.153776,-0.044009,0.006933,0.0,10.1021/acs.jced.4c00451
mm~|~hexamethyldisiloxane,1.0,0.575147,-0.299109,0.069042,0.0,10.1021/acs.jced.4c00451
methyloleate~|~methyl cis-9-octadecenoate,1.0,0.183461,-0.055158,0.008903,0.0,10.1021/acs.jced.4c00451
methyl palmitate~|~methyl hexadecanoate~|~hexadecanoicacidmethylester,1.0,0.254341,-0.090117,0.016221,0.0,10.1021/acs.jced.4c00451
methyl stearate~|~methyl octadecanoate~|~octadecanoicacidmethylester,1.0,0.078226,-0.007601,-8.2e-5,0.0,10.1021/acs.jced.4c00451
"mxylene~|~m-xylene~|~1,3-dimethylbenzene",1.0,0.317989,-0.135573,0.030302,0.0,10.1021/acs.jced.4c00451
nitrous oxide~|~dinitrogen monoxide,1.0,0.102561,0.326024,-0.210582,0.0,10.1021/acs.jced.4c00451
neon,1.0,0.375722,-0.010707,-0.018149,0.0,10.1021/acs.jced.4c00451
"neopentane~|~2,2-dimethylpropane",1.0,0.415494,-0.153463,0.030807,0.0,10.1021/acs.jced.4c00451
nitrogen trifluoride,0.8253,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
nitrogen,1.0,0.340291,-0.091078,0.021042,0.0,10.1021/acs.jced.4c00451
nonane~|~n-nonane,1.0,0.35713,-0.159116,0.034753,0.0,10.1021/acs.jced.4c00451
"novec649~|~dodecafluoro-2-methylpentan-3-one~|~1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)-3-pentanone",1.048,0.305935,-0.128391,0.028658,0.0,10.1021/acs.jced.4c00451
octane~|~n-octane,1.0,0.327911,-0.138181,0.029726,0.0,10.1021/acs.jced.4c00451
orthohydrogen~|~ortho-hydrogen,1.0,1.297005,-3.104217,2.257168,0.0,10.1021/acs.jced.4c00451
oxygen,0.5879,0.363576,-0.074938,0.005159,0.0,10.1021/acs.jced.4c00451
"oxylene~|~o-xylene~|~1,2-dimethylbenzene",1.0,0.381394,-0.178626,0.041899,0.0,10.1021/acs.jced.4c00451
parahydrogen~|~para-hydrogen,1.0284,1.297005,-3.104217,2.257168,0.0,10.1021/acs.jced.4c00451
pentane~|~n-pentane,1.0,0.404638,-0.184815,0.042214,0.0,10.1021/acs.jced.4c00451
*~|~poe5,1.2675,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
*~|~poe7,1.4492,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
*~|~poe9,1.706,0.220249,-0.070232,0.011963,0.0,10.1021/acs.jced.4c00451
"propadiene~|~1,2-propadiene",0.9724,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
propane~|~n-propane,1.0,0.406055,-0.178357,0.041571,0.0,10.1021/acs.jced.4c00451
propene~|~propylene,1.0,0.511568,-0.269974,0.067762,0.0,10.1021/acs.jced.4c00451
"methyloxirane~|~1,2-epoxypropane~|~1,2-propylene oxide",1.0,0.490791,-0.265874,0.067684,0.0,10.1021/acs.jced.4c00451
propyne~|~1-propyne~|~methylacetylene,1.0069,0.392983,-0.167528,0.037984,0.0,10.1021/acs.jced.4c00451
