Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
diethyl ether,74.12,7.972655e-7,1.362342e-8,4.233877e-11,-6.678342e-14,3.385435e-17,10.1021/acs.jced.4c00451
dimethyl carbonate~|~carbonic acid dimethyl ester,90.08,1.166914e-6,1.6368e-8,4.336846e-11,-5.735384e-14,2.441692e-17,10.1021/acs.jced.4c00451
dimethyl ether,46.07,8.012193e-6,-3.025205e-8,1.709708e-10,-2.384361e-13,1.611183e-16,10.1021/acs.jced.4c00451
ethylbenzene,106.16000000000001,1.033577e-5,-6.410024e-8,2.613487e-10,-3.47352e-13,1.689e-16,10.1021/acs.jced.4c00451
"glycol~|~1,2-ethanediol~|~ethylene glycol",62.068,1.347397e-6,1.608965e-8,3.005159e-11,-3.041689e-14,9.764323e-18,10.1021/acs.jced.4c00451
ethane,30.07,-8.210732e-22,3.165009e-8,7.040207e-26,-8.075719e-15,5.315773e-32,10.1021/acs.jced.4c00451
ethanol,46.07,-1.03116e-6,3.48379e-8,-6.50264e-12,3.430961e-28,-8.893657e-32,10.1021/acs.jced.4c00451
ethene~|~ethylene~|~1-ethylene,28.049999999999997,-1.744669e-5,3.025179e-7,-1.456058e-9,3.360156e-12,-2.80993e-15,10.1021/acs.jced.4c00451
oxirane~|~ethyleneoxide,44.05,1.031162e-6,1.926921e-8,5.406353e-11,-8.369083e-14,4.096235e-17,10.1021/acs.jced.4c00451
fluorine,37.997,2.230667e-7,6.997172e-8,2.035386e-10,-1.028663e-12,1.370159e-15,10.1021/acs.jced.4c00451
hydrogen sulfide,34.08,6.11767e-7,3.150717e-8,4.129875e-11,-5.672102e-14,2.537227e-17,10.1021/acs.jced.4c00451
hcl~|~hydrogen chloride~|~hydrochloric acid,36.46,-3.521145e-8,4.526383e-8,4.053319e-11,-9.849176e-14,5.831745e-17,10.1021/acs.jced.4c00451
helium~|~helium-4,4.002999999999999,2.77948e-6,6.725396e-8,-4.073596e-11,2.091555e-14,-4.153814e-18,10.1021/acs.jced.4c00451
