Clapeyron Database File,,,,,,,
ESFramework_selfdiffusion_PCSAFT Like Parameters,,,,,,,
species,α0,α1,α2,α3,αln,source
n-butane,0,0,-3.507,-0.997,0,10.1016/j.molliq.2023.123811
n-hexadecane,0,0,-7.316,-2.958,0,10.1016/j.molliq.2023.123811
carbon dioxide,0,0,0,-3.491,0,10.1016/j.molliq.2023.123811
1-octanol,0,0,0.497,-3.341,0,10.1016/j.molliq.2023.123811
