Clapeyron Database File,,,,,,,
ESFramework_thermalconductivity_SAFTVRMie Like Parameters,,,,,,,
species,α0,α1,α2,α3,αln,source
n-hexane,8.971,8.837,-3.673,3.602,-6.462,10.1016/j.molliq.2023.123811
benzene,6.224,5.903,-2.205,2.755,-3.916,10.1016/j.molliq.2023.123811
nitrogen,1.322,21.88,-6.878,2.875,-21.803,10.1016/j.molliq.2023.123811
1-propanol,4.872,-14.238,4.503,0.866,25.028,10.1016/j.molliq.2023.123811
