substance,Mw/(kg/mol),m0/(Pa*s),m1/(Pa*s*K⁻¹),m2/(Pa*s*K⁻²),m3/(Pa*s*K⁻³),m4/(Pa*s*K⁻⁴),ref,ref_id
"1,1,2,2,3-pentafluoropropane|r245ca",0.134050,1.246662e-06,2.217210e-08,7.184163e-11,-1.180563e-13,6.231566e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,3,3-pentafluoropropane|r245fa",0.134050,-1.942044e-06,4.118558e-08,2.913957e-11,-1.225412e-13,9.411890e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"difluoromethane|r32",0.052023,1.059600e-06,2.459583e-08,9.194887e-11,-1.840140e-13,1.172179e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,3,3-pentafluorobutane|r365mfc",0.148070,1.168700e-06,1.998266e-08,6.369849e-11,-1.019322e-13,5.246222e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chloromethane|methyl chloride|r40",0.050490,6.200866e-07,2.575502e-08,4.935691e-11,-8.559392e-14,4.415735e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methyl fluoride|fluoromethane|r41",0.034033,7.190676e-07,2.245698e-08,8.742476e-11,-2.039371e-13,1.486202e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"octafluorocyclobutane|perfluorocyclobutane|rc-318|rc318",0.200030,3.474758e-07,3.108061e-08,4.607984e-11,-8.781487e-14,4.741563e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methane, trifluoromethoxy-|re143a",0.100040,1.033105e-06,2.431405e-08,8.517064e-11,-1.652564e-13,1.020263e-16,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"1,1,1,2,2-pentafluoro-2-methoxyethane|re245cb2",0.150047,9.407127e-07,2.428616e-08,6.891656e-11,-1.234183e-13,6.915526e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"difluoromethyl 2,2,2-trifluoroethyl ether|re245fa2",0.150047,3.945999e-07,2.996537e-08,3.809374e-11,-6.291555e-14,2.929859e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"heptafluoro-1-methoxypropane|re347mcc",0.200055,1.101692e-06,2.175696e-08,6.647062e-11,-1.106843e-13,5.853466e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"sulfur hexafluoride|sulphur hexafluoride|sf6",0.146060,2.238914e-06,3.668787e-08,4.462772e-11,-8.709676e-14,4.681685e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"sulfur dioxide|sulphur dioxide|sulfurous anhydride|so2",0.064070,1.397158e-06,2.485827e-08,7.711710e-11,-1.236666e-13,6.346576e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"trans-2-butene|2-butene|t2butene",0.056110,3.175326e-07,1.876725e-08,4.206974e-11,-9.267914e-14,5.986372e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"methylbenzene|toluene",0.092140,1.448337e-06,1.332257e-08,2.526105e-11,-2.924836e-14,1.155007e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"chloroethylene|vinylchloride",0.062498,1.122846e-06,2.088131e-08,7.177214e-11,-1.243306e-13,6.926039e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"water",0.018015,-2.315194e-07,2.768208e-08,2.163703e-11,-1.428308e-14,2.779438e-18,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
"xenon",0.131290,-5.902554e-07,7.625029e-08,3.461043e-11,-1.009581e-13,5.760244e-17,"Martinek et al. (2025)",10.1021/acs.jced.4c00451
