substance,ξ,n1,n2,n3,n4,φ0/m,Γ,qD/m,Tref/K,ref,ref_id
"trichlorofluoromethane|fluorotrichloromethane|rmf|r11",1.0000,-0.036449,0.194595,2.357770,-0.369874,1.940000e-10,0.049600,1.892148e+09,7.066650e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"dichlorodifluoromethane|r12",1.0000,2.884165,-3.795080,3.937080,-0.568196,1.940000e-10,0.049600,1.892148e+09,5.776800e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"chlorotrifluoromethane|trifluoromethyl chloride|r13",1.0000,4.331146,-6.437883,5.306889,-0.791856,1.940000e-10,0.049600,2.860412e+09,4.530000e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"chloropentafluoroethane|r115",1.0000,0.628296,-0.344268,1.932946,-0.176035,1.940000e-10,0.049600,2.681684e+09,5.296500e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"chlorodifluoromethane|difluorochloromethane|r22",1.0000,3.403590,-4.427346,4.109770,-0.636604,1.940000e-10,0.049600,1.892148e+09,5.539430e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"dichlorofluoromethane|dichloromonofluoromethane|rf 21|r21",1.0000,-1.439458,3.276890,-0.008620,0.099076,1.940000e-10,0.049600,2.000000e+09,6.772200e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"2,2-dichloro-1,1,1-trifluoroethane|r123",1.0000,23.707010,-32.435900,16.530350,-2.404820,2.160000e-10,0.058000,1.555210e+09,6.852500e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"2-chloro-1,1,1,2-tetrafluoroethane|r124",1.0000,1.475653,-1.250491,1.859839,-0.110598,1.940000e-10,0.049600,2.000000e+09,5.931380e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1,1-dichloro-1-fluoroethane|r141b",1.0000,-0.088824,-6.172072,7.141372,-1.327207,1.940000e-10,0.049600,2.000000e+09,7.199400e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
"1-chloro-1,1-difluoroethane|r142b",1.0000,1.287769,-0.858585,1.780923,-0.119783,1.940000e-10,0.049600,1.624168e+09,6.153900e+02,"Yang et al. (2021)",10.1021/acs.iecr.1c02154
