substance,ε/(kB*K),σ/Å
"dichlorofluoromethane|dichloromonofluoromethane|rf 21|r21",358.6,4.7
"perfluoropropane|perflutren|octafluoropropane|r218",266.35,5.8
"chlorodifluoromethane|difluorochloromethane|r22",284.724,4.67
"1,1,1,2,3,3,3-heptafluoropropane|r227ea",289.34,5.75
"trifluoromethane|fluoroform|r23",243.91,4.28
"1,1,1,2,3,3-hexafluoropropane|r236ea",318.33,5.6
"1,1,1,3,3,3-hexafluoropropane|r236fa",307.24,5.64
"1,1,2,2,3-pentafluoropropane|r245ca",355.41,5.13
"1,1,1,3,3-pentafluoropropane|r245fa",259.89,5.85
"difluoromethane|r32",289.65,4.1
"1,1,1,3,3-pentafluorobutane|r365mfc",365.28,5.49
"chloromethane|methyl chloride|r40",330.6,4.19
"methyl fluoride|fluoromethane|r41",244.88,4.12
"octafluorocyclobutane|perfluorocyclobutane|rc-318|rc318",308.41,5.55
"methane, trifluoromethoxy-|re143a",300.104,4.85
"*|re245cb2",621,8.7
"*|re245fa2",353.28,5.36
"*|re347mcc",347.57,5.87
"sulfur hexafluoride|sulphur hexafluoride|sf6",222.1,5.13
"sulfur dioxide|sulphur dioxide|sulfurous anhydride|so2",363,4.03
"trans-2-butene|2-butene|t2butene",259,5.51
"toluene|methylbenzene",469.9,5.51
"*|vinylchloride",337.46,4.55
"water",809.1,2.64
"xenon",300,3.297
